Student Name,Mathematics - Unit Test 1,Mathematics - Midterm 1,Mathematics - Unit Test 2,Mathematics - Midterm 3,Science - Unit Test 1,Science - Midterm 1,Science - Unit Test 2,Science - Midterm 3,English - Unit Test 1,English - Midterm 1,English - Unit Test 2,English - Midterm 3,Computer Science - Unit Test 1,Computer Science - Midterm 1,Computer Science - Unit Test 2,Computer Science - Midterm 3,Social Science - Unit Test 1,Social Science - Midterm 1,Social Science - Unit Test 2,Social Science - Midterm 3
Ananya Gupta,52,59,57,66,74,61,65,68,59,51,65,57,45,66,58,68,51,57,71,61
Diya Mehta,57,53,59,59,50,42,58,42,60,42,50,59,46,61,59,70,83,53,65,59
Isha Verma,91,82,83,75,94,90,99,99,75,83,91,93,79,89,99,95,86,93,99,91
Myra Singh,82,86,76,90,73,81,95,85,82,89,82,87,86,99,88,89,84,80,99,96
Anika Joshi,46,63,46,49,36,41,37,41,35,35,40,40,46,44,42,43,58,62,41,56
Kavya Malhotra,49,43,53,43,40,51,57,59,61,47,47,35,55,51,69,70,39,54,47,45
Saanvi Agarwal,74,75,87,76,64,73,76,81,68,79,84,88,86,92,90,88,79,76,94,86
Avni Jain,64,70,63,71,70,68,79,88,75,75,51,65,72,70,73,75,60,59,67,68
Riya Kapoor,74,76,82,77,77,79,71,86,94,83,86,87,76,73,73,88,73,81,77,79
Pihu Bansal,63,57,68,59,79,78,76,81,52,60,65,63,65,63,60,71,77,75,76,75
Meera Patel,47,79,52,59,58,58,50,57,54,52,53,60,65,58,63,53,62,70,70,68
Kiara Saxena,80,79,77,66,62,67,73,64,78,66,78,64,65,66,69,70,80,80,64,82
Navya Mishra,60,36,57,45,52,67,50,57,55,53,60,62,52,57,63,61,53,50,50,60
Tanya Yadav,66,58,70,70,71,62,61,63,49,58,57,55,58,54,51,58,50,66,67,62
Sneha Choudhary,74,82,89,79,80,73,69,84,76,72,68,68,73,74,79,82,67,69,64,81
Simran Kaur,52,50,56,49,46,48,58,52,64,69,69,69,56,60,50,66,56,58,46,50
Nandini Rao,65,58,67,56,61,49,55,50,57,59,69,67,71,75,71,66,84,78,87,82
Muskan Thakur,65,75,64,73,78,89,76,83,85,88,99,97,83,72,77,78,76,89,91,94
Palak Saini,68,83,78,67,71,69,68,72,73,55,59,73,76,83,72,67,78,72,66,85
Shreya Srivastava,74,61,69,65,67,70,81,79,87,78,82,87,91,96,94,96,73,70,70,67
Ritika Shukla,74,59,72,68,64,61,59,60,67,62,64,70,60,73,65,91,56,64,58,71
Manya Goyal,87,84,89,99,86,99,99,99,85,81,91,87,83,80,87,80,97,94,94,99
Prisha Chauhan,81,66,65,63,75,78,65,82,74,77,82,81,64,72,66,80,70,75,63,81
Aarohi Tiwari,74,63,77,71,69,59,73,70,69,70,76,74,58,70,62,57,56,56,72,74
Tanvi Sharma,67,60,72,60,73,61,71,81,69,84,74,75,85,77,85,89,89,79,55,75
Ishita Gupta,62,59,57,75,61,72,73,78,63,55,68,60,52,41,53,55,50,55,58,63
Sakshi Mehta,83,97,80,95,84,88,80,92,99,83,95,91,87,72,64,87,89,88,99,97
Radhika Verma,58,65,63,56,66,52,57,53,68,73,70,64,64,60,67,40,66,86,68,73
Neha Singh,78,70,84,82,74,80,84,69,80,67,86,73,70,84,84,90,92,87,78,97
Pallavi Joshi,60,60,69,59,47,52,49,62,46,61,51,72,48,68,78,48,65,65,67,69
Komal Malhotra,61,86,84,66,73,62,65,64,65,71,76,71,49,50,53,51,62,62,57,56
Preeti Agarwal,44,60,46,57,74,46,61,59,58,59,52,63,71,60,75,65,54,52,47,61
Nisha Jain,70,78,78,78,67,62,77,67,64,68,73,65,59,61,64,71,68,64,65,69
Sonali Kapoor,45,45,39,51,46,40,35,39,49,53,54,56,41,39,65,43,54,48,52,45
Anjali Bansal,85,92,83,86,93,83,93,86,77,92,96,99,79,80,99,79,80,98,80,96
Pooja Patel,86,74,85,85,73,75,61,64,76,79,76,76,81,86,86,92,88,85,92,95
Kritika Saxena,72,55,63,62,61,55,70,56,62,70,54,64,45,52,51,57,54,64,59,76
Bhavna Mishra,74,84,72,81,71,77,82,77,76,64,78,64,72,67,63,65,64,72,56,69
Divya Yadav,59,61,69,80,59,70,67,65,66,67,54,65,67,66,56,68,76,92,86,83
Garima Choudhary,53,42,63,58,58,84,53,59,79,58,78,60,66,83,81,65,66,73,89,72
Swati Rao,67,69,62,70,77,71,61,71,70,51,67,57,75,73,76,72,67,74,70,54
Rupali Thakur,83,75,75,74,72,63,76,81,59,65,68,61,59,67,68,66,50,65,52,64
Payal Saini,64,77,68,65,63,69,66,71,60,70,75,78,63,68,76,75,72,64,65,73
Shivani Srivastava,86,74,75,94,71,88,85,99,89,88,91,90,80,77,57,73,83,78,90,69
Vaishnavi Shukla,60,59,64,63,70,53,63,66,65,62,59,56,48,52,60,51,70,69,77,68
Ayesha Khan,67,64,66,67,59,79,72,66,77,90,85,81,82,71,67,65,65,75,77,80
Zoya Ansari,92,84,90,69,63,51,71,82,70,65,68,75,74,54,71,66,84,66,65,76
Fatima Sheikh,64,71,57,55,64,68,65,69,61,66,80,87,55,52,69,59,92,79,82,79
Maryam Ali,82,93,89,99,69,69,82,74,76,86,99,99,75,80,72,68,85,91,87,99
Rahul Meena,62,66,52,71,54,53,52,66,44,45,58,64,75,51,69,59,61,62,72,49
Suresh Kumar,43,63,59,69,68,63,78,67,48,58,68,60,68,67,90,85,57,53,68,65
Vikram Rathore,79,86,81,75,75,65,79,80,69,64,70,67,72,70,84,80,79,84,67,84
Akash Tomar,55,55,56,53,48,59,62,77,64,54,76,64,63,39,44,49,51,51,51,64
Ravi Yadav,55,73,77,81,45,57,55,44,51,69,67,59,52,53,79,51,61,53,53,49
Aman Choudhary,89,77,92,91,71,82,77,85,80,90,85,90,91,79,85,94,91,90,83,93
Gaurav Sharma,85,82,91,65,63,64,70,66,80,78,69,81,73,73,84,71,70,71,75,68
Deepak Verma,48,58,59,42,59,54,78,65,79,59,61,75,51,53,60,57,59,60,48,51
Vivek Singh,66,59,60,56,73,70,54,60,64,66,65,63,63,75,68,62,78,65,59,69
Sachin Gupta,55,64,78,75,48,55,55,68,46,65,66,58,61,54,63,56,47,58,58,48
Abhishek Joshi,64,63,48,74,81,75,77,69,54,65,55,70,64,62,59,69,53,53,63,58
Manish Patel,59,71,79,86,85,76,79,76,65,69,72,70,60,78,77,80,67,79,72,88
Rakesh Saini,47,51,52,55,52,66,53,61,66,66,70,71,69,54,62,68,64,71,59,54
Tarun Mehta,79,85,83,94,89,93,90,98,63,73,71,68,79,89,90,90,77,89,85,89
Varun Agarwal,57,62,73,73,65,74,72,74,66,65,72,57,89,59,69,71,76,66,68,81
Kartik Bhatia,57,52,65,67,68,71,68,65,63,80,70,78,55,72,71,87,79,51,66,61
Sameer Khan,69,61,76,66,69,70,79,63,79,77,75,81,77,87,81,96,74,66,68,82
Naveen Rao,64,70,68,75,80,64,77,63,60,76,71,70,61,81,82,73,72,69,69,68
Saurabh Jain,69,64,64,64,70,65,68,59,75,86,77,78,64,67,77,79,76,50,67,73
Ritesh Chauhan,81,80,78,98,94,87,84,92,78,81,77,77,68,84,87,76,72,73,73,64
